Close,Volume,EMA5,EMA13,EMA26,MACD,SIGNAL,RSI,ROC,worked?,percentage_returns given
1719.8,7369809,1752.321088,1737.925541,1722.027635,17.68205728,12.709271,49.80717353,-0.234939235,0,0.532038609
1707.55,5905209,1737.397392,1733.586178,1720.955218,13.80682972,12.92878275,47.96333578,0.981696679,0,1.253257591
1703.7,5871709,1726.164928,1729.316724,1719.677053,10.30621746,12.40426969,47.36980705,1.100792214,0,1.482068439
1728.95,5090259,1727.093285,1729.264335,1720.363938,9.460367781,11.81548931,51.60002585,1.15551135,0,0.494519795
1703.9,5329972,1719.36219,1725.640858,1719.144387,6.69156398,10.79070424,47.51937342,-0.690660061,0,2.265391161
1667.75,5875091,1702.158127,1717.370736,1715.337396,1.562255429,8.945014479,42.3182982,-6.941383255,1,4.482086644
1700.05,3636806,1701.455418,1714.896345,1714.204996,0.10240109,7.176491802,47.81436847,-6.70087534,0,2.496985383
1697.9,3471772,1700.270279,1712.468296,1712.997219,-1.214036367,5.498386168,47.49000121,-5.795211807,1,4.847164144
1702.5,3530713,1701.013519,1711.044253,1712.219647,-1.864646497,4.025779635,48.29814524,-2.916773587,1,4.972099853
1708.7,483407,1703.575679,1710.70936,1711.958932,-1.85854735,2.848914238,49.42787992,-0.645423886,1,4.892608416
1737.5,5245903,1714.883786,1714.536594,1713.850863,0.464847108,2.372100812,54.41115033,1.753974993,1,3.153956835
1742.5,4016134,1724.089191,1718.531367,1715.973021,2.678733397,2.433427329,55.23585003,2.277396255,0,2.857962697
1740.15,4780368,1729.442794,1721.619743,1717.763909,4.195268428,2.785795549,54.73468316,0.647792012,0,2.996868086
1733.3,4731349,1730.728529,1723.288351,1718.91473,4.789188826,3.186474204,53.21890842,1.725453372,1,3.403911614
1780.2,5069009,1747.21902,1731.418587,1723.45438,8.941243967,4.337428157,61.15147225,6.742617299,0,0.67969891
1787.15,4354074,1760.529346,1739.380217,1728.172574,12.64680006,5.999302537,62.17504403,5.123378724,0,0.288168313
1792.3,6034233,1771.119564,1746.940186,1732.922754,15.81671665,7.96278536,62.95396356,5.559809176,0,-0.27060202
1787.45,4732492,1776.563043,1752.727302,1736.961809,17.73312747,9.916853781,61.666071,4.989720999,0,-0.450362248
1779.4,4326924,1777.508695,1756.537688,1740.105379,18.39033677,11.61155038,59.49064624,4.137648505,0,-1.123974373
1759.4,6621839,1771.472463,1756.946589,1741.53461,17.10022626,12.70928556,54.3597413,1.260431655,0,-1.278845061
